Polutan,PCA,K,Variance,Silhouette,Davies_Bouldin,Calinski_Harabasz,Cluster_Min,Cluster_Max,Balance_Ratio,Ukuran_Cluster
NO2,16,10,0.9892053749939549,0.1856805728696468,0.8396042159905666,17.73554095940044,1,9,0.1111111111111111,1-1-1-1-2-3-5-6-8-9
NO2,17,2,0.9915206834217055,0.7479937862572617,0.16121069320909848,29.89552949926588,1,36,0.027777777777777776,1-36
NO2,17,3,0.9915206834217055,0.19543288546332796,1.109620449809188,24.972312609451237,1,20,0.05,1-16-20
NO2,17,4,0.9915206834217055,0.21025687217549763,0.9825907423466325,22.66066023921434,1,18,0.05555555555555555,1-2-16-18
NO2,17,5,0.9915206834217055,0.22244511079636428,0.831004639479654,22.454784714580782,1,22,0.045454545454545456,1-1-2-11-22
NO2,17,6,0.9915206834217055,0.1917374758923455,0.931048879816969,20.67470235486617,1,16,0.0625,1-1-2-4-13-16
NO2,17,7,0.9915206834217055,0.14772161616215668,1.0411541249025562,19.342344013845924,1,13,0.07692307692307693,1-1-2-5-7-8-13
NO2,17,8,0.9915206834217055,0.16683738634332115,1.0101766308401456,18.79576851833529,1,15,0.06666666666666667,1-1-2-4-4-5-5-15
NO2,17,9,0.9915206834217055,0.18577076726149092,0.9753114152330783,18.228082635470127,1,9,0.1111111111111111,1-1-2-2-3-4-6-9-9
NO2,17,10,0.9915206834217055,0.18220411778763573,0.8452396333574275,17.492895521200037,1,9,0.1111111111111111,1-1-1-1-2-3-5-6-8-9
NO2,18,2,0.9935068270189098,0.747456361346995,0.16160619049966532,29.784907144727338,1,36,0.027777777777777776,1-36
NO2,18,3,0.9935068270189098,0.1943953871649461,1.1128882919167176,24.85092696631258,1,20,0.05,1-16-20
NO2,18,4,0.9935068270189098,0.2090965001713898,0.9858989946946061,22.525757651725037,1,18,0.05555555555555555,1-2-16-18
NO2,18,5,0.9935068270189098,0.22131997803961817,0.8337498413760047,22.319163344049016,1,22,0.045454545454545456,1-1-2-11-22
NO2,18,6,0.9935068270189098,0.19065462554475443,0.9356801193404714,20.525713027589997,1,16,0.0625,1-1-2-4-13-16
NO2,18,7,0.9935068270189098,0.16813138166333647,1.0103333262092185,19.7774845980114,1,12,0.08333333333333333,1-1-2-5-6-10-12
