Polutan,Metode,Jumlah_Fitur_Input,Jumlah_PCA,K,Silhouette,Davies_Bouldin,Calinski_Harabasz,Inertia,Cumulative_Variance
NO2,PCA,68,16,4,0.211932318687957,0.9783645010498204,22.823625210495813,785.6057598119922,0.9892053749939548
NO2,PCA,68,16,5,0.22420646641995,0.8273810701230317,22.655591203661817,630.3945038115432,0.9892053749939548
NO2,PCA,68,16,6,0.1932457011646451,0.9267496744116244,20.87641266663402,553.1369773372687,0.9892053749939548
NO2,PCA,68,16,7,0.1498952314279026,1.034268947274536,19.563997127451696,491.70326661445904,0.9892053749939548
NO2,PCA,68,16,8,0.1695471622834599,1.0041542707265754,19.03446035028743,431.78635606645815,0.9892053749939548
NO2,PCA,68,16,9,0.1894150514627839,0.9679705370312242,18.49129976046548,384.4583281645184,0.9892053749939548
NO2,PCA,68,16,10,0.1856805728696468,0.8396042159905666,17.73554095940044,349.4926219380994,0.9892053749939548
NO2,PCA,68,17,2,0.7479937862572617,0.1612106932090984,29.89552949926588,1305.8722760403984,0.9915206834217054
NO2,PCA,68,17,3,0.1954328854633279,1.109620449809188,24.97231260945124,980.6938691841324,0.9915206834217054
NO2,PCA,68,17,4,0.2102568721754976,0.9825907423466324,22.66066023921434,791.2568680707349,0.9915206834217054
NO2,PCA,68,17,5,0.2224451107963642,0.831004639479654,22.454784714580786,636.0362830623633,0.9915206834217054
NO2,PCA,68,17,6,0.1917374758923455,0.931048879816969,20.67470235486617,558.5929681025763,0.9915206834217054
NO2,PCA,68,17,7,0.1477216161621566,1.0411541249025562,19.342344013845924,497.3418968071796,0.9915206834217054
NO2,PCA,68,17,8,0.1668373863433211,1.0101766308401456,18.79576851833529,437.30052778776746,0.9915206834217054
NO2,PCA,68,17,9,0.1857707672614909,0.9753114152330784,18.228082635470127,390.0264659050509,0.9915206834217054
NO2,PCA,68,17,10,0.1822041177876357,0.8452396333574275,17.492895521200037,354.45847655998057,0.9915206834217054
NO2,PCA,68,18,2,0.747456361346995,0.1616061904996653,29.784907144727335,1310.7223927265784,0.9935068270189096
NO2,PCA,68,18,3,0.1943953871649461,1.1128882919167176,24.85092696631258,985.508456002952,0.9935068270189096
NO2,PCA,68,18,4,0.2090965001713898,0.985898994694606,22.52575765172504,796.032133400832,0.9935068270189096
NO2,PCA,68,18,5,0.2213199780396181,0.8337498413760047,22.319163344049016,640.1611136954742,0.9935068270189096
NO2,PCA,68,18,6,0.1906546255447544,0.9356801193404714,20.52571302759,562.8321589874352,0.9935068270189096
NO2,PCA,68,18,7,0.1681313816633364,1.0103333262092185,19.7774845980114,489.5863544951807,0.9935068270189096
NO2,PCA,68,18,8,0.1615756523456149,0.929581584450027,18.177499210958693,450.3138964304784,0.9935068270189096
NO2,PCA,68,18,9,0.171984344899908,1.0590809599860544,17.76196125239403,399.3753327706072,0.9935068270189096
NO2,PCA,68,18,10,0.1802333356696376,0.8494468637467769,17.30789601556262,358.40399267175815,0.9935068270189096
NO2,PCA,68,19,2,0.7469996396540997,0.1619544128224352,29.699448090207447,1314.49396061243,0.9950512901548504
NO2,PCA,68,19,3,0.1935035534611651,1.1158359828122215,24.75684036352836,989.2644869645972,0.9950512901548504
NO2,PCA,68,19,4,0.2078683379264621,0.9893546491519194,22.420149843106927,799.7889860345017,0.9950512901548504
NO2,PCA,68,19,5,0.2200006353578435,0.8366650059361307,22.19097999780777,643.8784698567815,0.9950512901548504
