valid_time,latitude,longitude,pm1_ug_m3,pm2p5_ug_m3,pm10_ug_m3
2025-10-01 18:00:00,-7.2,112.4,134.69646,142.51418,144.54622
2025-10-01 18:00:00,-7.2,112.4,178.9793,189.11237,191.52026
2025-10-02 00:00:00,-7.2,112.4,128.59909,139.83395,145.33185
2025-10-02 00:00:00,-7.2,112.4,128.4394,139.68684,145.2588
2025-10-02 06:00:00,-7.2,112.4,28.847662,31.215042,31.706009
2025-10-02 06:00:00,-7.2,112.4,24.33092,26.392427,26.88401
2025-10-02 12:00:00,-7.2,112.4,67.46058,72.906456,75.20743
2025-10-02 12:00:00,-7.2,112.4,73.691864,79.35125,81.5989
2025-10-02 18:00:00,-7.2,112.4,207.64014,219.21835,221.77222
2025-10-02 18:00:00,-7.2,112.4,193.52774,204.64023,207.29521
2025-10-03 00:00:00,-7.2,112.4,118.22249,128.23705,132.86131
2025-10-03 00:00:00,-7.2,112.4,141.1724,153.08723,158.54959
2025-10-03 06:00:00,-7.2,112.4,41.774113,44.715073,45.022465
2025-10-03 06:00:00,-7.2,112.4,50.160946,54.07014,54.653965
2025-10-03 12:00:00,-7.2,112.4,127.84284,134.74391,135.03194
2025-10-03 12:00:00,-7.2,112.4,151.68307,159.97705,160.43571
2025-10-03 18:00:00,-7.2,112.4,178.43633,188.04315,188.75017
2025-10-03 18:00:00,-7.2,112.4,189.40324,201.65054,205.1176
2025-10-04 00:00:00,-7.2,112.4,104.05654,112.76359,115.94227
2025-10-04 00:00:00,-7.2,112.4,97.71685,107.347885,112.04923
2025-10-04 06:00:00,-7.2,112.4,48.671665,52.89851,53.68757
2025-10-04 06:00:00,-7.2,112.4,42.888233,46.71559,47.482807
2025-10-04 12:00:00,-7.2,112.4,56.104298,61.03147,62.91475
2025-10-04 12:00:00,-7.2,112.4,63.689754,68.57772,70.114876
2025-10-04 18:00:00,-7.2,112.4,131.5227,140.07162,142.69626
2025-10-04 18:00:00,-7.2,112.4,131.37862,140.194,143.0979
2025-10-05 00:00:00,-7.2,112.4,132.42789,143.95744,149.39696
2025-10-05 00:00:00,-7.2,112.4,120.77976,131.24321,136.20844
2025-10-05 06:00:00,-7.2,112.4,16.395027,17.831734,18.457094
2025-10-05 06:00:00,-7.2,112.4,17.458107,19.411232,20.394754
2025-10-05 12:00:00,-7.2,112.4,36.70784,40.391834,42.365826
2025-10-05 12:00:00,-7.2,112.4,42.264996,46.46856,48.623016
2025-10-05 18:00:00,-7.2,112.4,105.435165,112.36852,114.74856
2025-10-05 18:00:00,-7.2,112.4,116.511215,124.047516,126.52532
2025-10-06 00:00:00,-7.2,112.4,73.236206,80.90581,85.21584
2025-10-06 00:00:00,-7.2,112.4,79.597275,87.25772,91.38665
2025-10-06 06:00:00,-7.2,112.4,18.402918,19.988462,20.630964
2025-10-06 06:00:00,-7.2,112.4,17.600967,19.466782,20.576284
2025-10-06 12:00:00,-7.2,112.4,39.138527,42.247192,43.56632
