Polutan,PCA,K,Variance,Silhouette,Davies_Bouldin,Calinski_Harabasz,Cluster_Min,Cluster_Max,Balance_Ratio,Ukuran_Cluster
SO2,10,2,0.9767454478983939,0.7984115395676522,0.12091249897279165,37.362264233352,1,36,0.027777777777777776,1-36
SO2,10,3,0.9767454478983939,0.7224824785682146,0.1412054939531373,46.86672278968523,1,35,0.02857142857142857,1-1-35
SO2,10,4,0.9767454478983939,0.41989980359989415,0.5014546285286752,44.83583796363304,1,32,0.03125,1-1-3-32
SO2,10,5,0.9767454478983939,0.43557955041589,0.4425527098678331,45.24397263393549,1,31,0.03225806451612903,1-1-1-3-31
SO2,10,6,0.9767454478983939,0.1906385303226702,0.7751765090599991,46.81538063474578,1,20,0.05,1-1-1-3-11-20
SO2,10,7,0.9767454478983939,0.16187739493452655,0.8590272610482393,42.59118733398948,1,18,0.05555555555555555,1-1-1-2-3-11-18
SO2,10,8,0.9767454478983939,0.13478943133260932,0.8607676821577681,41.220775483569035,1,15,0.06666666666666667,1-1-1-1-2-7-9-15
SO2,10,9,0.9767454478983939,0.1447970833498439,0.8370780938721374,39.84579782332375,1,17,0.058823529411764705,1-1-1-1-2-2-5-7-17
SO2,10,10,0.9767454478983939,0.12276850014590017,0.8522315251346946,37.6672803272625,1,14,0.07142857142857142,1-1-1-1-1-2-2-6-8-14
SO2,11,2,0.982111827796636,0.7961036467984318,0.12284880544491464,36.94262935224,1,36,0.027777777777777776,1-36
SO2,11,3,0.982111827796636,0.7188954758868941,0.14401573270691836,45.92018613600014,1,35,0.02857142857142857,1-1-35
SO2,11,4,0.982111827796636,0.41105517907764555,0.5072273985035354,43.62112158405503,1,32,0.03125,1-1-3-32
SO2,11,5,0.982111827796636,0.4264024525629646,0.44873144042548674,43.65227190063483,1,31,0.03225806451612903,1-1-1-3-31
SO2,11,6,0.982111827796636,0.15359325962163634,0.8240362297313665,44.28501301395799,1,17,0.058823529411764705,1-1-1-3-14-17
SO2,11,7,0.982111827796636,0.14630911805804966,0.8929725152065809,40.941457831724954,1,15,0.06666666666666667,1-1-1-2-3-14-15
SO2,11,8,0.982111827796636,0.1260985237745383,0.8895229040750325,38.9204500116738,1,15,0.06666666666666667,1-1-1-1-2-7-9-15
SO2,11,9,0.982111827796636,0.13070504439649466,0.8963595404394119,38.05200028372105,1,11,0.09090909090909091,1-1-1-1-2-2-7-11-11
SO2,11,10,0.982111827796636,0.1356498595866637,0.7585093235333619,36.04002117405713,1,14,0.07142857142857142,1-1-1-1-1-2-2-2-12-14
SO2,12,2,0.9859741591108802,0.7946780019738596,0.12390211353863038,36.646396481756085,1,36,0.027777777777777776,1-36
SO2,12,3,0.9859741591108802,0.7166908013799721,0.1455553281752526,45.26206887491409,1,35,0.02857142857142857,1-1-35
SO2,12,4,0.9859741591108802,0.4079827469568205,0.5141428101383969,42.85403765906013,1,32,0.03125,1-1-3-32
SO2,12,5,0.9859741591108802,0.4229669295132499,0.4551571116877902,42.65456834221001,1,31,0.03225806451612903,1-1-1-3-31
SO2,12,6,0.9859741591108802,0.15565800712170855,0.8397335665811226,43.10520071147051,1,16,0.0625,1-1-1-3-15-16
SO2,12,7,0.9859741591108802,0.11584191894843422,0.9961591836573515,39.74505866679619,1,17,0.058823529411764705,1-1-1-3-7-7-17
SO2,12,8,0.9859741591108802,0.12175537205936644,0.9015070070169343,37.7358457670919,1,15,0.06666666666666667,1-1-1-1-2-7-9-15
SO2,12,9,0.9859741591108802,0.11578082055576161,0.9373879101508259,35.75828670805983,1,12,0.08333333333333333,1-1-1-1-2-2-8-9-12
SO2,12,10,0.9859741591108802,0.1103801474760425,0.8822141891762346,34.51717484382307,1,10,0.1,1-1-1-1-1-2-3-8-9-10
SO2,13,2,0.9888217253707524,0.7936273128184258,0.12467138355809505,36.43103447226926,1,36,0.027777777777777776,1-36
SO2,13,3,0.9888217253707524,0.715071193405721,0.14667733213964051,44.78836936488069,1,35,0.02857142857142857,1-1-35
SO2,13,4,0.9888217253707524,0.40452463769040403,0.5182438707977284,42.25884047347493,1,32,0.03125,1-1-3-32
SO2,13,5,0.9888217253707524,0.41929373502794204,0.4590993753573742,41.894217604745045,1,31,0.03225806451612903,1-1-1-3-31
SO2,13,6,0.9888217253707524,0.14716737561659743,0.8437849291433662,42.134293048977185,1,17,0.058823529411764705,1-1-1-3-14-17
SO2,13,7,0.9888217253707524,0.13904673098502202,0.9170887523853013,38.75976165063659,1,15,0.06666666666666667,1-1-1-2-3-14-15
SO2,13,8,0.9888217253707524,0.11260779862308636,0.9548418774447004,37.084735117263776,1,12,0.08333333333333333,1-1-1-1-3-9-9-12
SO2,13,9,0.9888217253707524,0.11261298539312455,0.9496645647432399,34.79436381826872,1,12,0.08333333333333333,1-1-1-1-2-2-8-9-12
SO2,13,10,0.9888217253707524,0.10895038289373163,0.8906868872822582,33.682385175657735,1,10,0.1,1-1-1-1-1-2-3-8-9-10
SO2,14,2,0.9913213455218809,0.7926902480335667,0.12535205592583212,36.24407097074172,1,36,0.027777777777777776,1-36
